planid	partnb	id	type	actual	nominal	uppertol	lowertol	deviation	exceed	featureid	featuresigma	comment	link	linkmode	mmc	useruppertol	userlowertol	fftphi	fftphiunit	zoneroundnessangle	groupname	groupname2	idsymbol	idshort	K2005class
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-0.50; 1; Right-Drive)	Angular profile error (fHa) (-0.50; 1; Right-Drive)	0.007717475037298	0.00000	0.005000	-0.003000																632	fHa___1_1R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-3.50; 1; Right-Drive)	Angular profile error (fHa) (-3.50; 1; Right-Drive)	0.000374628231841	0.00000	0.005000	-0.003000																632	fHa___4_1R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-6.50; 1; Right-Drive)	Angular profile error (fHa) (-6.50; 1; Right-Drive)	0.001926727618061	0.00000	0.005000	-0.003000																632	fHa___7_1R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-0.50; 13; Right-Drive)	Angular profile error (fHa) (-0.50; 13; Right-Drive)	0.007841736793751	0.00000	0.005000	-0.003000																632	fHa___113R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-3.50; 13; Right-Drive)	Angular profile error (fHa) (-3.50; 13; Right-Drive)	0.000759159330338	0.00000	0.005000	-0.003000																632	fHa___413R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-6.50; 13; Right-Drive)	Angular profile error (fHa) (-6.50; 13; Right-Drive)	0.001682441133406	0.00000	0.005000	-0.003000																632	fHa___713R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-0.50; 26; Right-Drive)	Angular profile error (fHa) (-0.50; 26; Right-Drive)	0.006853267315807	0.00000	0.005000	-0.003000																632	fHa___126R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-3.50; 26; Right-Drive)	Angular profile error (fHa) (-3.50; 26; Right-Drive)	-0.001812514232956	0.00000	0.005000	-0.003000																632	fHa___426R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-6.50; 26; Right-Drive)	Angular profile error (fHa) (-6.50; 26; Right-Drive)	-0.000621023136933	0.00000	0.005000	-0.003000																632	fHa___726R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-0.50; 38; Right-Drive)	Angular profile error (fHa) (-0.50; 38; Right-Drive)	0.002524823114676	0.00000	0.005000	-0.003000																632	fHa___138R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-3.50; 38; Right-Drive)	Angular profile error (fHa) (-3.50; 38; Right-Drive)	-0.003636331751121	0.00000	0.005000	-0.003000																632	fHa___438R	3
35.7371 Grinding in process M05700	177	Angular profile error (fHa) (-6.50; 38; Right-Drive)	Angular profile error (fHa) (-6.50; 38; Right-Drive)	-0.001007213701796	0.00000	0.005000	-0.003000																632	fHa___738R	3
35.7371 Grinding in process M05700	177	Profile - variation angular deviation (varfHa) (Right-Drive)	Profile - variation angular deviation (varfHa) (Right-Drive)	0.004395491081459	0.00000	0.012000	0.000000																0	vfHb_____R	3
35.7371 Grinding in process M05700	177	Profile form error (ffa) (-0.50; 1; Right-Drive)	Profile form error (ffa) (-0.50; 1; Right-Drive)	0.000963762785527	0.00000	0.003000	0.000000																631	ffa___1_1R	3
35.7371 Grinding in process M05700	177	Profile form error (ffa) (-3.50; 1; Right-Drive)	Profile form error (ffa) (-3.50; 1; Right-Drive)	0.000945150728524	0.00000	0.003000	0.000000																631	ffa___4_1R	3
35.7371 Grinding in process M05700	177	Profile form error (ffa) (-6.50; 1; Right-Drive)	Profile form error (ffa) (-6.50; 1; Right-Drive)	0.000887517534917	0.00000	0.003000	0.000000																631	ffa___7_1R	3
