planid	partnb	id	type	actual	nominal	uppertol	lowertol	deviation	exceed	featureid	featuresigma	comment	link	linkmode	mmc	useruppertol	userlowertol	fftphi	fftphiunit	zoneroundnessangle	groupname	groupname2	idsymbol	idshort	K2005class
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-0.50; 1; Right-Drive)	Angular profile error (fHa) (-0.50; 1; Right-Drive)	0.003927092320884	0.00000	0.005000	-0.003000																632	fHa___1_1R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-3.50; 1; Right-Drive)	Angular profile error (fHa) (-3.50; 1; Right-Drive)	-0.000274276791926	0.00000	0.005000	-0.003000																632	fHa___4_1R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-6.50; 1; Right-Drive)	Angular profile error (fHa) (-6.50; 1; Right-Drive)	0.001363472766803	0.00000	0.005000	-0.003000																632	fHa___7_1R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-0.50; 13; Right-Drive)	Angular profile error (fHa) (-0.50; 13; Right-Drive)	0.000284334908911	0.00000	0.005000	-0.003000																632	fHa___113R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-3.50; 13; Right-Drive)	Angular profile error (fHa) (-3.50; 13; Right-Drive)	-0.003199831101996	0.00000	0.005000	-0.003000																632	fHa___413R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-6.50; 13; Right-Drive)	Angular profile error (fHa) (-6.50; 13; Right-Drive)	-0.001958403737101	0.00000	0.005000	-0.003000																632	fHa___713R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-0.50; 26; Right-Drive)	Angular profile error (fHa) (-0.50; 26; Right-Drive)	0.002299363819557	0.00000	0.005000	-0.003000																632	fHa___126R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-3.50; 26; Right-Drive)	Angular profile error (fHa) (-3.50; 26; Right-Drive)	-0.001693068240030	0.00000	0.005000	-0.003000																632	fHa___426R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-6.50; 26; Right-Drive)	Angular profile error (fHa) (-6.50; 26; Right-Drive)	-0.000452436023809	0.00000	0.005000	-0.003000																632	fHa___726R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-0.50; 38; Right-Drive)	Angular profile error (fHa) (-0.50; 38; Right-Drive)	0.003718050265898	0.00000	0.005000	-0.003000																632	fHa___138R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-3.50; 38; Right-Drive)	Angular profile error (fHa) (-3.50; 38; Right-Drive)	-0.001439769848415	0.00000	0.005000	-0.003000																632	fHa___438R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-6.50; 38; Right-Drive)	Angular profile error (fHa) (-6.50; 38; Right-Drive)	0.001045293294807	0.00000	0.005000	-0.003000																632	fHa___738R	3
35.7371 Grinding in process M05710	224	Profile - variation angular deviation (varfHa) (Right-Drive)	Profile - variation angular deviation (varfHa) (Right-Drive)	0.2925554310070	0.00000	0.012000	0.000000																0	vfHb_____R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-0.50; 1; Right-Drive)	Profile form error (ffa) (-0.50; 1; Right-Drive)	0.000984037981331	0.00000	0.003000	0.000000																631	ffa___1_1R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-3.50; 1; Right-Drive)	Profile form error (ffa) (-3.50; 1; Right-Drive)	0.001054112113315	0.00000	0.003000	0.000000																631	ffa___4_1R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-6.50; 1; Right-Drive)	Profile form error (ffa) (-6.50; 1; Right-Drive)	0.000738467466446	0.00000	0.003000	0.000000																631	ffa___7_1R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-0.50; 13; Right-Drive)	Profile form error (ffa) (-0.50; 13; Right-Drive)	0.001354511283909	0.00000	0.003000	0.000000																631	ffa___113R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-3.50; 13; Right-Drive)	Profile form error (ffa) (-3.50; 13; Right-Drive)	0.001151030985954	0.00000	0.003000	0.000000																631	ffa___413R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-6.50; 13; Right-Drive)	Profile form error (ffa) (-6.50; 13; Right-Drive)	0.000974115668919	0.00000	0.003000	0.000000																631	ffa___713R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-0.50; 26; Right-Drive)	Profile form error (ffa) (-0.50; 26; Right-Drive)	0.001339238504729	0.00000	0.003000	0.000000																631	ffa___126R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-3.50; 26; Right-Drive)	Profile form error (ffa) (-3.50; 26; Right-Drive)	0.001344239386184	0.00000	0.003000	0.000000																631	ffa___426R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-6.50; 26; Right-Drive)	Profile form error (ffa) (-6.50; 26; Right-Drive)	0.001107836582792	0.00000	0.003000	0.000000																631	ffa___726R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-0.50; 38; Right-Drive)	Profile form error (ffa) (-0.50; 38; Right-Drive)	0.001512682776738	0.00000	0.003000	0.000000																631	ffa___138R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-3.50; 38; Right-Drive)	Profile form error (ffa) (-3.50; 38; Right-Drive)	0.001184933904395	0.00000	0.003000	0.000000																631	ffa___438R	3
35.7371 Grinding in process M05710	224	Profile form error (ffa) (-6.50; 38; Right-Drive)	Profile form error (ffa) (-6.50; 38; Right-Drive)	0.000898286537063	0.00000	0.003000	0.000000																631	ffa___738R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-0.50; 1; Right-Drive)	Profile crowning (Ch) (-0.50; 1; Right-Drive)	0.003416682781790	0.00400	0.003000	-0.004000																643	Ch____1_1R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-3.50; 1; Right-Drive)	Profile crowning (Ch) (-3.50; 1; Right-Drive)	0.002979576662262	0.00400	0.003000	-0.004000																643	Ch____4_1R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-6.50; 1; Right-Drive)	Profile crowning (Ch) (-6.50; 1; Right-Drive)	0.001139003601627	0.00400	0.003000	-0.004000																643	Ch____7_1R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-0.50; 13; Right-Drive)	Profile crowning (Ch) (-0.50; 13; Right-Drive)	0.003074475322759	0.00400	0.003000	-0.004000																643	Ch____113R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-3.50; 13; Right-Drive)	Profile crowning (Ch) (-3.50; 13; Right-Drive)	0.003153633328171	0.00400	0.003000	-0.004000																643	Ch____413R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-6.50; 13; Right-Drive)	Profile crowning (Ch) (-6.50; 13; Right-Drive)	0.000467101425410	0.00400	0.003000	-0.004000																643	Ch____713R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-0.50; 26; Right-Drive)	Profile crowning (Ch) (-0.50; 26; Right-Drive)	0.002996693127116	0.00400	0.003000	-0.004000																643	Ch____126R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-3.50; 26; Right-Drive)	Profile crowning (Ch) (-3.50; 26; Right-Drive)	0.002799240976507	0.00400	0.003000	-0.004000																643	Ch____426R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-6.50; 26; Right-Drive)	Profile crowning (Ch) (-6.50; 26; Right-Drive)	0.000908042990232	0.00400	0.003000	-0.004000																643	Ch____726R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-0.50; 38; Right-Drive)	Profile crowning (Ch) (-0.50; 38; Right-Drive)	0.003407427217004	0.00400	0.003000	-0.004000																643	Ch____138R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-3.50; 38; Right-Drive)	Profile crowning (Ch) (-3.50; 38; Right-Drive)	0.003242217221801	0.00400	0.003000	-0.004000																643	Ch____438R	3
35.7371 Grinding in process M05710	224	Profile crowning (Ch) (-6.50; 38; Right-Drive)	Profile crowning (Ch) (-6.50; 38; Right-Drive)	0.000660260665328	0.00400	0.003000	-0.004000																643	Ch____738R	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-0.50; 1; Left-Coast)	Angular profile error (fHa) (-0.50; 1; Left-Coast)	0.001223077895438	0.00000	0.008000	-0.008000																632	fHa___1_1L	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-3.50; 1; Left-Coast)	Angular profile error (fHa) (-3.50; 1; Left-Coast)	0.002360631838627	0.00000	0.008000	-0.008000																632	fHa___4_1L	3
35.7371 Grinding in process M05710	224	Angular profile error (fHa) (-6.50; 1; Left-Coast)	Angular profile error (fHa) (-6.50; 1; Left-Coast)	0.016809503134575	0.00000	0.008000	-0.008000																632	fHa___7_1L	3
