planid	partnb	id	type	actual	nominal	uppertol	lowertol	deviation	exceed	featureid	featuresigma	comment	link	linkmode	mmc	useruppertol	userlowertol	fftphi	fftphiunit	zoneroundnessangle	groupname	groupname2	idsymbol	idshort	K2005class
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-0.50; 38; Right-Drive)	Profile crowning (Ch) (-0.50; 38; Right-Drive)	0.003261211741635	0.00400	0.003000	-0.004000																643	Ch____138R	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-3.50; 38; Right-Drive)	Profile crowning (Ch) (-3.50; 38; Right-Drive)	0.003017072930375	0.00400	0.003000	-0.004000																643	Ch____438R	3
35.7371 Grinding in process M05710	222	Profile crowning (Ch) (-6.50; 38; Right-Drive)	Profile crowning (Ch) (-6.50; 38; Right-Drive)	0.000664656107906	0.00400	0.003000	-0.004000																643	Ch____738R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-0.50; 1; Left-Coast)	Angular profile error (fHa) (-0.50; 1; Left-Coast)	-0.002715510603670	0.00000	0.008000	-0.008000																632	fHa___1_1L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-3.50; 1; Left-Coast)	Angular profile error (fHa) (-3.50; 1; Left-Coast)	0.001475363460164	0.00000	0.008000	-0.008000																632	fHa___4_1L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-6.50; 1; Left-Coast)	Angular profile error (fHa) (-6.50; 1; Left-Coast)	0.021126934964286	0.00000	0.008000	-0.008000																632	fHa___7_1L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-0.50; 13; Left-Coast)	Angular profile error (fHa) (-0.50; 13; Left-Coast)	-0.000602111810495	0.00000	0.008000	-0.008000																632	fHa___113L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-3.50; 13; Left-Coast)	Angular profile error (fHa) (-3.50; 13; Left-Coast)	0.002303726407000	0.00000	0.008000	-0.008000																632	fHa___413L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-6.50; 13; Left-Coast)	Angular profile error (fHa) (-6.50; 13; Left-Coast)	0.020666614832493	0.00000	0.008000	-0.008000																632	fHa___713L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-0.50; 26; Left-Coast)	Angular profile error (fHa) (-0.50; 26; Left-Coast)	0.000731174455844	0.00000	0.008000	-0.008000																632	fHa___126L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-3.50; 26; Left-Coast)	Angular profile error (fHa) (-3.50; 26; Left-Coast)	0.004124357786413	0.00000	0.008000	-0.008000																632	fHa___426L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-6.50; 26; Left-Coast)	Angular profile error (fHa) (-6.50; 26; Left-Coast)	0.024021762947184	0.00000	0.008000	-0.008000																632	fHa___726L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-0.50; 38; Left-Coast)	Angular profile error (fHa) (-0.50; 38; Left-Coast)	-0.001668348973710	0.00000	0.008000	-0.008000																632	fHa___138L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-3.50; 38; Left-Coast)	Angular profile error (fHa) (-3.50; 38; Left-Coast)	0.000745595639117	0.00000	0.008000	-0.008000																632	fHa___438L	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-6.50; 38; Left-Coast)	Angular profile error (fHa) (-6.50; 38; Left-Coast)	0.019209581150674	0.00000	0.008000	-0.008000																632	fHa___738L	3
35.7371 Grinding in process M05710	222	Profile - variation angular deviation (varfHa) (Left-Coast)	Profile - variation angular deviation (varfHa) (Left-Coast)	0.003378762147296	0.00000	0.012000	0.000000																0	vfHb_____L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-0.50; 1; Left-Coast)	Profile form error (ffa) (-0.50; 1; Left-Coast)	0.001098959441726	0.00000	0.003000	0.000000																631	ffa___1_1L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-3.50; 1; Left-Coast)	Profile form error (ffa) (-3.50; 1; Left-Coast)	0.001616838268913	0.00000	0.003000	0.000000																631	ffa___4_1L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-6.50; 1; Left-Coast)	Profile form error (ffa) (-6.50; 1; Left-Coast)	0.002281034618830	0.00000	0.003000	0.000000																631	ffa___7_1L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-0.50; 13; Left-Coast)	Profile form error (ffa) (-0.50; 13; Left-Coast)	0.001190267042661	0.00000	0.003000	0.000000																631	ffa___113L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-3.50; 13; Left-Coast)	Profile form error (ffa) (-3.50; 13; Left-Coast)	0.001409904896949	0.00000	0.003000	0.000000																631	ffa___413L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-6.50; 13; Left-Coast)	Profile form error (ffa) (-6.50; 13; Left-Coast)	0.001819892753630	0.00000	0.003000	0.000000																631	ffa___713L	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-0.50; 26; Left-Coast)	Profile form error (ffa) (-0.50; 26; Left-Coast)	0.001014956546674	0.00000	0.003000	0.000000																631	ffa___126L	3
