planid	partnb	id	type	actual	nominal	uppertol	lowertol	deviation	exceed	featureid	featuresigma	comment	link	linkmode	mmc	useruppertol	userlowertol	fftphi	fftphiunit	zoneroundnessangle	groupname	groupname2	idsymbol	idshort	K2005class
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-0.50; 1; Right-Drive)	Angular profile error (fHa) (-0.50; 1; Right-Drive)	0.006254662236139	0.00000	0.005000	-0.003000																632	fHa___1_1R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-3.50; 1; Right-Drive)	Angular profile error (fHa) (-3.50; 1; Right-Drive)	-0.001458396971905	0.00000	0.005000	-0.003000																632	fHa___4_1R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-6.50; 1; Right-Drive)	Angular profile error (fHa) (-6.50; 1; Right-Drive)	-0.000819830485392	0.00000	0.005000	-0.003000																632	fHa___7_1R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-0.50; 13; Right-Drive)	Angular profile error (fHa) (-0.50; 13; Right-Drive)	0.006137241466217	0.00000	0.005000	-0.003000																632	fHa___113R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-3.50; 13; Right-Drive)	Angular profile error (fHa) (-3.50; 13; Right-Drive)	-0.001022762709526	0.00000	0.005000	-0.003000																632	fHa___413R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-6.50; 13; Right-Drive)	Angular profile error (fHa) (-6.50; 13; Right-Drive)	-0.001010524825317	0.00000	0.005000	-0.003000																632	fHa___713R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-0.50; 26; Right-Drive)	Angular profile error (fHa) (-0.50; 26; Right-Drive)	0.006444952774980	0.00000	0.005000	-0.003000																632	fHa___126R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-3.50; 26; Right-Drive)	Angular profile error (fHa) (-3.50; 26; Right-Drive)	-0.000388426029665	0.00000	0.005000	-0.003000																632	fHa___426R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-6.50; 26; Right-Drive)	Angular profile error (fHa) (-6.50; 26; Right-Drive)	0.000505061118613	0.00000	0.005000	-0.003000																632	fHa___726R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-0.50; 38; Right-Drive)	Angular profile error (fHa) (-0.50; 38; Right-Drive)	0.007873475838759	0.00000	0.005000	-0.003000																632	fHa___138R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-3.50; 38; Right-Drive)	Angular profile error (fHa) (-3.50; 38; Right-Drive)	-0.001311198899475	0.00000	0.005000	-0.003000																632	fHa___438R	3
35.7371 Grinding in process M05700	176	Angular profile error (fHa) (-6.50; 38; Right-Drive)	Angular profile error (fHa) (-6.50; 38; Right-Drive)	-0.000500023125202	0.00000	0.005000	-0.003000																632	fHa___738R	3
35.7371 Grinding in process M05700	176	Profile - variation angular deviation (varfHa) (Right-Drive)	Profile - variation angular deviation (varfHa) (Right-Drive)	0.001069970942240	0.00000	0.012000	0.000000																0	vfHb_____R	3
35.7371 Grinding in process M05700	176	Profile form error (ffa) (-0.50; 1; Right-Drive)	Profile form error (ffa) (-0.50; 1; Right-Drive)	0.001054608098636	0.00000	0.003000	0.000000																631	ffa___1_1R	3
